tin;year;revenue;expenditure
0264006541;2022;1.6561E7;1.5262E7
0264011929;2018;2.7354E7;2.7907E7
0264011929;2019;1.6557E7;1.7517E7
0264011929;2020;2.6465E7;2.5593E7
0264011929;2021;2.9987E7;2.8781E7
0264011929;2022;6.5421E7;5.5895E7
0264017159;2018;4318000.0;2109000.0
0264017159;2019;3957000.0;2525000.0
0264017159;2020;3203000.0;2823000.0
0264017159;2021;3490000.0;2571000.0
0264017159;2022;2538000.0;2488000.0
0264022286;2018;3598000.0;3598000.0
0264022286;2019;2354000.0;2354000.0
0264022286;2020;1473000.0;1513000.0
0264054873;2018;4716000.0;4716000.0
0264054873;2019;4081000.0;4081000.0
0264054873;2020;3035000.0;3035000.0
0264054873;2021;2118000.0;2118000.0
0264054873;2022;5166000.0;5166000.0
0264062867;2018;0.0;0.0
0264065280;2018;1.24917E8;1.21907E8
0264065280;2019;1.66246E8;1.60763008E8
0264065280;2020;1.79208E8;1.65082E8
0264065280;2021;2.46712992E8;2.34595008E8
0264071741;2018;1.4942E7;1.4701E7
0264071741;2019;1.7624E7;1.7335E7
0264071741;2020;1.6712E7;1.6128E7
0264071741;2021;1.6976E7;9499000.0
0264071741;2022;1.2229E7;1.1241E7
0264072417;2018;0.0;0.0
0264072417;2019;0.0;0.0
0264072417;2020;0.0;0.0
0264072417;2021;0.0;0.0
0264072417;2022;0.0;0.0
0264073185;2018;1241000.0;1228000.0
0264073185;2019;46000.0;228000.0
0264073185;2020;0.0;0.0
0264073185;2021;0.0;0.0
0264073185;2022;0.0;0.0
0264076683;2019;1110000.0;1110000.0
0264076683;2020;0.0;0.0
0264076683;2021;0.0;0.0
0264078634;2020;0.0;0.0
0264078634;2022;0.0;0.0
0265035016;2018;4.9296E7;4.9146E7
0265035016;2019;600000.0;1.618E7
0265035016;2020;0.0;0.0
0265035016;2021;0.0;0.0
0265039821;2018;112000.0;112000.0
0265039821;2019;360000.0;390000.0
0265039821;2020;333000.0;131000.0
0265039821;2021;395000.0;314000.0
0265039821;2022;341000.0;337000.0
0265045261;2018;251000.0;233000.0
0265045261;2019;542000.0;411000.0
0265045261;2020;973000.0;642000.0
0265045261;2021;103000.0;102000.0
0265045261;2022;114000.0;113000.0
0265046850;2018;1156000.0;1675000.0
0265046850;2019;1382000.0;1478000.0
0265046850;2020;0.0;0.0
0265048216;2019;312000.0;315000.0
0265048216;2020;275000.0;131000.0
0265048216;2021;90000.0;139000.0
0265048216;2022;0.0;0.0
0265048368;2019;9622000.0;9621000.0
0265048368;2020;0.0;0.0
0265048368;2021;0.0;0.0
0265048368;2022;0.0;0.0
0265052149;2022;7.1458E7;7.1243E7
0266013093;2018;0.0;0.0
0266013093;2019;0.0;0.0
0266021048;2018;0.0;0.0
0266021048;2019;0.0;0.0
0266021048;2020;0.0;0.0
0266021048;2022;0.0;0.0
0266022771;2018;1152000.0;1129000.0
0266022771;2019;1229000.0;1200000.0
0266022771;2020;1421000.0;1402000.0
0266022771;2021;1503000.0;1343000.0
0266022771;2022;239000.0;1266000.0
0266033928;2018;9601000.0;9672000.0
0266033928;2019;4.9559E7;4.9214E7
0266033928;2020;4.3331E7;4.2862E7
0266033928;2021;4.0376E7;3.6729E7
0266033928;2022;3.5933E7;3.5878E7
0266055992;2018;0.0;0.0
0266055992;2019;0.0;0.0
0266055992;2020;0.0;0.0
0266055992;2021;0.0;0.0
0266056280;2018;4.9619E7;3.7962E7
0266056280;2019;6.9103E7;5.7867E7
0266056280;2020;7.8285E7;6.7347E7
0266056280;2021;9.1831E7;7.6401E7
0266056280;2022;1.21826E8;9.6156E7
0267008515;2018;476000.0;769000.0
0267008515;2021;335000.0;316000.0
0267008515;2022;0.0;170000.0
0267016788;2019;0.0;0.0
0267016788;2020;0.0;0.0
0267016788;2021;0.0;0.0
0267016788;2022;0.0;0.0
0267016964;2018;1626000.0;1516000.0
0267016964;2019;2074000.0;1890000.0
0267016964;2020;2348000.0;2155000.0
0267016964;2021;3153000.0;2939000.0
0267016964;2022;2149000.0;1830000.0
0267017284;2018;4928000.0;4007000.0
0267017284;2019;3257000.0;2830000.0
0267017284;2020;4812000.0;4741000.0
0267017284;2021;277000.0;1204000.0
0267019316;2020;241000.0;240000.0
0267019316;2021;0.0;0.0
0267019316;2022;15000.0;15000.0
0267022573;2019;0.0;0.0
0267022573;2020;395000.0;395000.0
0267022573;2021;0.0;0.0
0267023619;2020;935000.0;914000.0
0267023619;2021;2429000.0;2450000.0
0267023619;2022;1757000.0;2007000.0
0267024355;2021;0.0;0.0
0267024355;2022;273000.0;151000.0
0268000195;2018;3518000.0;3246000.0
0268000195;2020;55000.0;51000.0
0268000195;2021;0.0;0.0
0268000283;2018;1259000.0;1188000.0
0268000283;2019;3199000.0;675000.0
0268000283;2020;151000.0;165000.0
0268029275;2018;4938000.0;3879000.0
0268029275;2019;3970000.0;3543000.0
0268029275;2020;5144000.0;5124000.0
0268029275;2021;3272000.0;3388000.0
0268029275;2022;1421000.0;1506000.0
0268030665;2018;318000.0;318000.0
0268030665;2019;480000.0;480000.0
0268038600;2018;1571000.0;2078000.0
0268053165;2018;6332000.0;5833000.0
0268056871;2018;137000.0;432000.0
0268056871;2019;0.0;9000.0
0268061141;2018;3.7259E7;3.6521E7
0268061141;2019;4.9743E7;4.783E7
0268061141;2020;4.6264E7;4.327E7
0268061141;2021;6.3509E7;6.0363E7
0268061141;2022;1.32324E8;1.12043E8
0268064953;2018;3667000.0;4147000.0
0268064953;2019;3716000.0;3728000.0
0268064953;2020;0.0;0.0
0268068242;2018;1167000.0;944000.0
0268068242;2019;3667000.0;2455000.0
0268068242;2020;2965000.0;2152000.0
0268068242;2021;55000.0;55000.0
0268068242;2022;0.0;0.0
0268071887;2018;0.0;0.0
0268071887;2019;0.0;0.0
0268071887;2020;15000.0;26000.0
0268071887;2021;30000.0;26000.0
0268071887;2022;0.0;0.0
0268072841;2018;541000.0;541000.0
0268072841;2019;190000.0;167000.0
0268072841;2020;205000.0;182000.0
0268072841;2021;141000.0;140000.0
0268072841;2022;0.0;0.0
0268074750;2018;783000.0;700000.0
0268074750;2019;0.0;0.0
0268074750;2020;495000.0;30000.0
0268074750;2021;0.0;0.0
0268093866;2021;0.0;0.0
0268093866;2022;0.0;0.0
0268094700;2021;0.0;8000.0
0268094700;2022;0.0;0.0
0269018815;2018;2.29214E8;2.28183008E8
0269018815;2019;1.86203008E8;2.05840992E8
0269018815;2020;1.73639008E8;2.10796E8
0269018815;2021;2.1301E7;9.3609E7
0269018815;2022;9875000.0;2.0533E7
0269019456;2018;5.3145E7;3.9471E7
0269019456;2019;5.2908E7;3.9992E7
0269019456;2020;5.5274E7;5.4158E7
0269019456;2021;6.4255E7;6.61E7
0269019456;2022;1.5803E7;1.4224E7
0269024738;2018;2.3701E7;2.3636E7
0269024738;2019;2.1864E7;2.182E7
0269024738;2020;1.8952E7;1.8919E7
0269024738;2021;1.6381E7;1.6365E7
0269024738;2022;2.4263E7;2.4165E7
0269029285;2018;6675000.0;6675000.0
0269029285;2019;0.0;0.0
0269029285;2020;0.0;0.0
0269029895;2018;1280000.0;1258000.0
0269029895;2019;4468000.0;4445000.0
0269029895;2020;2655000.0;2590000.0
0269029895;2021;981000.0;966000.0
0269029895;2022;0.0;0.0
0269031090;2018;0.0;4180000.0
0269031090;2019;0.0;0.0
0269031090;2020;0.0;0.0
0269032697;2018;2.55414E8;2.42782E8
0269032697;2019;3.86724E8;3.85446016E8
0269032697;2020;3.59768E8;3.5568E8
0269032697;2021;6.6442803E8;6.2972998E8
0269032697;2022;8.3186202E8;7.4157901E8
0269042007;2021;1.1458E7;1.0527E7
0269042007;2022;0.0;0.0
0269998917;2018;2.01E7;1.877E7
0269998917;2019;4.0749E7;3.9673E7
0269998917;2020;3.0849E7;2.9901E7
0269998917;2021;3.0426E7;2.9756E7
0269998917;2022;4.9726E7;4.7833E7
0270015551;2018;0.0;0.0
0270015551;2019;0.0;0.0
0271004009;2018;1852000.0;1794000.0
0271004009;2019;1674000.0;1617000.0
0271004009;2020;1409000.0;1362000.0
0271004009;2021;790000.0;761000.0
0272010654;2018;1.3459E7;1.2487E7
0272010654;2019;1.503E7;1.3733E7
0272010654;2020;1.1743E7;1.0777E7
0272010654;2021;1.0533E7;1.0928E7
0272010654;2022;3829000.0;3852000.0
0272011320;2018;4594000.0;3629000.0
0272011320;2019;4591000.0;3717000.0
0272011320;2020;3527000.0;2740000.0
0272020701;2018;0.0;0.0
0272020701;2019;0.0;0.0
0272020701;2020;0.0;0.0
0272022522;2018;1.0272E7;1.0272E7
0272022522;2019;1.5185E7;1.5185E7
0272022522;2020;1.4865E7;1.4865E7
0272022699;2018;0.0;0.0
0272022699;2019;0.0;0.0
0272022699;2020;0.0;0.0
0272022699;2021;0.0;0.0
