tin;year;employees_count
0277013610;2022;2
0277014853;2018;1
0277014853;2019;1
0277014853;2020;1
0277014853;2021;0
0277014853;2022;1
0277025950;2018;10
0277025950;2019;12
0277025950;2020;14
0277025950;2021;20
0277025950;2022;19
0277035885;2018;3
0277035885;2019;3
0277035885;2020;1
0277035885;2021;1
0277035885;2022;1
0277037152;2018;27
0277037152;2019;30
0277037152;2020;25
0277037152;2021;25
0277037152;2022;22
0277037843;2018;1
0277037843;2019;1
0277037843;2020;2
0277037843;2021;2
0277037843;2022;2
0277039791;2018;6
0277039791;2019;6
0277039791;2020;7
0277039791;2021;6
0277039791;2022;4
0277051830;2019;1
0277051830;2020;1
0277051830;2021;1
0277051830;2022;1
0277056229;2018;12
0277056229;2019;10
0277056229;2020;8
0277056229;2021;9
0277056229;2022;7
0277072326;2018;1
0277072326;2019;1
0277075422;2018;0
0277075422;2019;0
0277075422;2020;0
0277079219;2018;0
0277079219;2019;0
0277079219;2020;0
0277079219;2021;0
0277079219;2022;0
0277091142;2018;17
0277091142;2019;19
0277091142;2020;21
0277091142;2021;20
0277091142;2022;19
0277103045;2018;1
0277103045;2019;1
0277103045;2020;2
0277103045;2021;2
0277103045;2022;2
0277108879;2018;15
0277108879;2019;15
0277108879;2020;11
0277108879;2021;14
0277108879;2022;12
0277115435;2018;84
0277115435;2019;87
0277115435;2020;73
0277115435;2021;67
0277115435;2022;69
0277120072;2018;6
0277120072;2019;7
0277120072;2020;6
0277120072;2021;5
0277120072;2022;1
0277120636;2018;10
0277120636;2019;11
0277120636;2020;8
0277120636;2021;8
0277120636;2022;4
0277125754;2018;1
0277125754;2019;1
0277125754;2020;1
0277125754;2021;1
0277125754;2022;1
0277130151;2018;1
0277130151;2019;1
0277130169;2018;1
0277130169;2019;1
0277130169;2020;1
0277130169;2021;1
0277130169;2022;1
0277133385;2018;1
0277134163;2018;1
0277137510;2018;1
0277137510;2019;1
0277137510;2020;1
0277137510;2021;1
0277138295;2018;3
0277138295;2019;3
0277138295;2020;2
0277138295;2021;2
0277138295;2022;2
0277905803;2019;0
0277905803;2020;1
0277905803;2022;0
0277914082;2018;4
0277914082;2019;3
0277914082;2020;9
0277914082;2021;12
0277914082;2022;10
0277943936;2019;1
0277943936;2020;7
0277943936;2021;35
0277943936;2022;52
0277956533;2021;1
0277957209;2021;1
0277957209;2022;3
0277958393;2022;1
0277959809;2022;1
0278004417;2018;3
0278004417;2019;3
0278004417;2020;3
0278004417;2021;3
0278004417;2022;3
0278006051;2019;0
0278006051;2020;0
0278006051;2021;0
0278021564;2018;7
0278021564;2019;6
0278021564;2020;0
0278021564;2021;5
0278021564;2022;3
0278030745;2018;14
0278030745;2019;12
0278030745;2020;12
0278030745;2021;12
0278030745;2022;10
0278055972;2018;1
0278055972;2019;1
0278055972;2020;0
0278055972;2021;0
0278055972;2022;0
0278094795;2018;7
0278094795;2019;6
0278094795;2020;9
0278094795;2021;9
0278094795;2022;9
0278104806;2018;20
0278104806;2019;18
0278104806;2020;18
0278104806;2021;16
0278104806;2022;18
0278128405;2018;1
0278128405;2019;1
0278128405;2020;0
0278128405;2021;1
0278128405;2022;1
0278143146;2018;2
0278143146;2019;9
0278143146;2020;5
0278143146;2021;1
0278143146;2022;1
0278166513;2018;1
0278172651;2019;0
0278174320;2019;7
0278174320;2020;0
0278174320;2021;1
0278175444;2018;1
0278175444;2019;1
0278175444;2020;2
0278175444;2021;2
0278175444;2022;2
0278178332;2018;1
0278196885;2018;3
0278196885;2019;2
0278196885;2020;2
0278196885;2021;3
0278196885;2022;3
0278204871;2018;0
0278204871;2019;0
0278204871;2020;0
0278205177;2018;71
0278205177;2019;82
0278205177;2020;0
0278205177;2021;1
0278205177;2022;1
0278205191;2018;8
0278205191;2019;9
0278205191;2020;0
0278208770;2018;1
0278208770;2019;1
0278208770;2020;1
